turbulence experiments,Cognitive Delay,reference_latitude,reference_longitude,reference_radial,distance,altitude_agl,x_velocity,y_velocity,z_velocity,p_rotation,q_rotation,r_rotation,heading,wind_altitude,wind_direction,wind_speed,turbulence_level,velocity_initial,fuel_level
null,null,null,null,null,null,null,sim/flightmodel/position/local_vx,sim/flightmodel/position/local_vy,sim/flightmodel/position/local_vz,sim/flightmodel/position/P,sim/flightmodel/position/Q,sim/flightmodel/position/R,sim/flightmodel/position/q,sim/weather/wind_altitude_msl_m[0],sim/weather/wind_direction_degt[0],sim/weather/wind_speed_kt[0],sim/weather/turbulence[0],sim/flightmodel/position/local_vz,sim/flightmodel/weight/m_fuel
0,0.15,39.875027,-104.696482,359,2.982775015505134,806.0,0,0,0,0,0,0,179,0,160.39363295880148,5.993295880149813,0,103.24,20
1,0.15,39.875027,-104.696482,359,0.43825274095345623,816.0,0,0,0,0,0,0,179,0,nan,nan,0,85.84,20
2,0.15,39.875027,-104.696482,359,4.587896092308574,802.0,0,0,0,0,0,0,179,0,nan,nan,0,101.14,20
3,0.15,39.875027,-104.696482,359,4.380953135736078,813.0,0,0,0,0,0,0,179,0,nan,nan,0,107.71,20
4,0.15,39.875027,-104.696482,359,3.033257612197004,807.0,0,0,0,0,0,0,179,0,nan,nan,0,91.3,20
5,0.15,39.875027,-104.696482,359,3.3029707342027272,818.0,0,0,0,0,0,0,179,0,nan,nan,0,77.83,20
6,0.15,39.875027,-104.696482,359,4.029740134831729,814.0,0,0,0,0,0,0,179,0,nan,nan,0,97.15,20
7,0.15,39.875027,-104.696482,359,3.243720716265803,804.0,0,0,0,0,0,0,179,0,nan,nan,0,78.94,20
8,0.15,39.875027,-104.696482,359,2.9827384761555726,808.0,0,0,0,0,0,0,179,0,345.16028368794326,8.984751773049648,0,91.92,20
9,0.15,39.875027,-104.696482,359,3.1838140409859252,810.0,0,0,0,0,0,0,179,0,nan,nan,0, 113.73,20
10,0.15,39.875027,-104.696482,359,3.1047825844102714,820.0,0,0,0,0,0,0,179,0,nan,nan,0,75.46,20
11,0.15,39.875027,-104.696482,359,3.2862166316594497,800.0,0,0,0,0,0,0,179,0,nan,nan,0,65.08,20
12,0.15,39.875027,-104.696482,359,0.21903471344982575,811.0,0,0,0,0,0,0,179,0,nan,nan,0,82.52,20
13,0.15,39.875027,-104.696482,359,2.830635333066114,815.0,0,0,0,0,0,0,179,0,nan,nan,0,64.24,20
14,0.15,39.875027,-104.696482,359,3.027102892574508,818.0,0,0,0,0,0,0,179,0,nan,nan,0,69.47,20
15,0.15,39.875027,-104.696482,359,0.7734407676053833,820.0,0,0,0,0,0,0,179,0,nan,nan,0,106.08,20
16,0.15,39.875027,-104.696482,359,1.096331234867718,812.0,0,0,0,0,0,0,179,0,nan,nan,0,96.49,20
17,0.15,39.875027,-104.696482,359,3.1786437118992352,800.0,0,0,0,0,0,0,179,0,nan,nan,0,128.55,20
18,0.15,39.875027,-104.696482,359,2.5810090217311488,800.0,0,0,0,0,0,0,179,0,nan,nan,0,106.23,20
19,0.15,39.875027,-104.696482,359,2.7833789242527054,811.0,0,0,0,0,0,0,179,0,nan,nan,0,86.33,20
20,0.15,39.875027,-104.696482,359,2.5304013827012097,803.0,0,0,0,0,0,0,179,0,228.2697674418603,12.657441860465116,0,84.85,20
21,0.15,39.875027,-104.696482,359,4.804529928521723,807.0,0,0,0,0,0,0,179,0,nan,nan,0,77.91,20
22,0.15,39.875027,-104.696482,359,1.2334049244189238,800.0,0,0,0,0,0,0,179,0,125.61359516616312,16.174864048338367,0,82.57,20
23,0.15,39.875027,-104.696482,359,3.478586378679197,801.0,0,0,0,0,0,0,179,0,nan,nan,0, 81.56,20
24,0.15,39.875027,-104.696482,359,2.3530668673927804,819.0,0,0,0,0,0,0,179,0,nan,nan,0,89.88,20
25,0.15,39.875027,-104.696482,359,2.84143922357226,802.0,0,0,0,0,0,0,179,0,187.00117187499993,17.143203124999996,0,141.82,20
26,0.15,39.875027,-104.696482,359,3.3953249240289174,816.0,0,0,0,0,0,0,179,0,nan,nan,0,71.9,20
27,0.15,39.875027,-104.696482,359,3.883899563652399,809.0,0,0,0,0,0,0,179,0,nan,nan,0, 102.65,20
28,0.15,39.875027,-104.696482,359,4.61257781344434,820.0,0,0,0,0,0,0,179,0,21.28008474576272,16.44614406779661,0,90.66,20
29,0.15,39.875027,-104.696482,359,1.2887685815933667,819.0,0,0,0,0,0,0,179,0,nan,nan,0,72.49,20
30,0.15,39.875027,-104.696482,359,3.23719273182112,814.0,0,0,0,0,0,0,179,0,nan,nan,0,102.15,20
31,0.15,39.875027,-104.696482,359,3.6047922017640452,800.0,0,0,0,0,0,0,179,0,329.3166666666666,21.09147058823529,0,72.51,20
32,0.15,39.875027,-104.696482,359,0.6992237992488275,820.0,0,0,0,0,0,0,179,0,230.91927710843382,9.682168674698792,0,77.64,20
33,0.15,39.875027,-104.696482,359,1.0260308029756378,801.0,0,0,0,0,0,0,179,0,nan,nan,0,114.14,20
34,0.15,39.875027,-104.696482,359,1.0170856673274058,803.0,0,0,0,0,0,0,179,0,nan,nan,0,64.65,20
35,0.15,39.875027,-104.696482,359,1.8488812451735563,817.0,0,0,0,0,0,0,179,0,nan,nan,0,118.92,20
36,0.15,39.875027,-104.696482,359,3.83400838751224,808.0,0,0,0,0,0,0,179,0,225.20094786729854,12.90867298578199,0,114.84,20
37,0.15,39.875027,-104.696482,359,3.381406402055404,813.0,0,0,0,0,0,0,179,0,nan,nan,0,76.63,20
38,0.15,39.875027,-104.696482,359,2.8470861015034927,817.0,0,0,0,0,0,0,179,0,nan,nan,0,86.0,20
39,0.15,39.875027,-104.696482,359,3.6768839647324127,820.0,0,0,0,0,0,0,179,0,nan,nan,0,100.87,20
40,0.15,39.875027,-104.696482,359,3.732322350694681,803.0,0,0,0,0,0,0,179,0,nan,nan,0,117.84,20
41,0.15,39.875027,-104.696482,359,3.052267577103112,806.0,0,0,0,0,0,0,179,0,nan,nan,0,89.44,20
42,0.15,39.875027,-104.696482,359,4.2654104591915765,815.0,0,0,0,0,0,0,179,0,nan,nan,0,100.98,20
43,0.15,39.875027,-104.696482,359,3.269621564482225,816.0,0,0,0,0,0,0,179,0,nan,nan,0,84.03,20
44,0.15,39.875027,-104.696482,359,2.803216045553387,803.0,0,0,0,0,0,0,179,0,nan,nan,0, 109.71,20
45,0.15,39.875027,-104.696482,359,3.236660420802297,819.0,0,0,0,0,0,0,179,0,nan,nan,0,100.87,20
46,0.15,39.875027,-104.696482,359,4.891222555973315,818.0,0,0,0,0,0,0,179,0,234.03304093567232,15.643888888888899,0, 80.67,20
