Flight#, Descent#, Mean, Median, StdDev, Max, Min
0, 1, -220.0071535580524,-237.78,317.91348128407503,617.63,-849.12
0, 2, -206.34680412371134,-158.0,363.361232680197,725.07,-1319.8
1, 1, -161.06414835164833,-87.46000000000001,238.73323238419147,343.33,-774.97
2, 1, -180.20690476190478,-98.13,373.3377852074898,858.12,-1500.09
4, 1, -170.6400837988827,-185.94,192.85936967878436,368.42,-686.03
6, 1, -215.22326086956522,-113.295,266.02624004595845,286.1,-821.94
7, 1, -229.13670634920635,-251.995,207.91011848230588,326.34,-802.19
8, 1, -292.1107476635514,-288.075,199.4382687721764,230.44,-694.68
9, 1, -434.93326241134747,-438.15,154.53544791767206,-42.48,-799.17
11, 1, -169.02738505747126,-44.89,269.48243967334867,207.56,-1085.92
12, 1, -227.75611940298512,-134.37,259.4185308298658,142.11,-807.25
18, 1, -270.1357603686636,-286.3,222.33843417010578,276.15,-734.2
21, 1, -207.87273764258555,-128.83,285.23729101914876,676.98,-926.41
24, 1, -281.95966183574876,-320.55,168.5404572694658,69.8,-673.65
25, 1, -204.59701754385966,-129.5,229.7655358011339,170.28,-811.27
26, 1, -156.24738578680206,-220.12,542.1653294052984,1664.56,-1191.49
27, 1, -197.70734426229507,-171.13,603.5914259131733,1380.43,-1970.6
29, 1, -251.82240343347638,-180.22,305.0696781089849,286.63,-1424.26
32, 1, -117.34804828973844,-25.89,230.77436094338262,341.76,-1041.06
35, 1, -184.25407079646016,-13.4,268.23006150382,96.0,-1095.85
37, 1, -334.2439534883721,-335.595,303.9726640623473,540.32,-1242.99
38, 1, -211.47589576547233,-206.88,241.49426124802335,250.43,-840.33
39, 1, -162.09558912386706,-138.58,281.8437972294894,665.77,-865.56
42, 1, -314.8626424870467,-343.78,232.66568097461206,147.28,-931.62
44, 1, -128.97917338709678,-140.875,479.3291376210111,1020.86,-1602.84
45, 1, -236.671328125,-246.51999999999998,295.16434340510597,533.32,-858.99
51, 1, -252.24229838709678,-293.78499999999997,182.33751786433612,99.21,-653.38
53, 1, -122.33475206611571,-72.81,215.25710182499333,366.29,-828.73
54, 1, -236.79487288135596,-244.365,226.0553982790182,383.19,-1043.27
55, 1, -537.5164077669904,-511.59,318.1279611443375,157.62,-974.69
56, 1, -154.20415841584156,-34.254999999999995,282.599833725741,566.09,-1349.31
60, 1, -308.4987254901961,-327.63,202.15148289005978,374.26,-911.12
61, 1, -670.9648192771085,-625.21,512.2054978308022,598.87,-1929.08
61, 2, -314.64792134831464,-369.14,426.2491900610506,1391.34,-1273.96
63, 1, -190.12735483870966,-176.32,225.27332504509735,215.3,-893.64
64, 1, -218.44908771929823,-190.43,267.3252142094909,309.75,-1313.93
67, 1, -279.0289099526067,-313.9,221.81639499883906,289.22,-639.1
68, 1, -180.23955974842767,-16.265,306.9700161106963,566.25,-1100.04
73, 1, -400.8815862068965,-440.35,238.45935265474162,95.97,-911.88
74, 1, -333.93654054054053,-338.5,374.45926947840724,367.49,-1174.65
75, 1, -134.5799790356394,-20.34,288.05652193183005,600.01,-1451.18
76, 1, -180.9122570532915,-3.13,275.74184657101216,310.0,-825.47
83, 1, -184.5233234421365,-166.32,197.38638589058974,163.66,-650.34
84, 1, -275.55330275229363,-279.755,232.00128086705516,107.25,-901.62
86, 1, -184.87044776119401,-101.28,267.45260657038295,308.84,-1294.75
88, 1, -270.5650884955752,-266.2,182.73052706499905,263.25,-830.14
89, 1, -198.84722222222223,-182.19,307.97250165211653,552.78,-1040.54
